322.665,2.2356,9,06
#BS,461053,1,2,346574.060,4070336.631,2.1984,7,07
#BS,461069,1,2,38
#RCR,1500,1493,6B
#BS,461093,1,2,346574.060,4070336.631,2.1998,7,06
#BS,461109,1,2,346574.031,2.2007,7,08
#CS,1511,1495,3E
#RCR,1515,1496,6A
#BS,461133,1,2,346573.812,4070336.876,2.2009,7,08
#BS,461149,1,26573.812,4070336.876,2.2014,7,09
#CS,1511,1495,3E
#RCR,1517,1496,68
#BS,461173,1,2,346573.812,4070336.87#BS,46170337.122,2.2023,7,05
#BS,461237,1,2,346573.533,4070337.122,2.2028,7,0B
#CS,1522,1515,37
#RCR,1524,1516,61
#BS,46133,4070337.122,2.2037,7,05
#BS,461275,1,2,346573.533,4070337.122,2.2037,7,03
#CS,1522,1502,31
#RCR,1516#BS,461313,1,2,346573.533,4070337.122,2.2030,7,05
#CS,1509,1492,30
#RCR,1508,1493,63
#BS,461338,8,2.2028,7,00
#BS,461351,1,2,346573.284,4070337.348,2.2024,7,03
#CS,1501,1503,31
#RCR,1503,1504,67
#BS,461376,1,2,70337.348,2.2021,7,03
#BS,461389,1,2,346573.284,4070337.348,2.2017,7,06
#CS,1502,1506,37
#RCR,1501,1507,3.051,4070337.593,2.2009,7,0F
#CS,1506,1511,35
#RCR,1506,1512,65
#BS,461453,193,2.2002,7,08
#BS,461469,1,2,346573.051,4070337.593,2.1996,7,06
#CS,1506,1501,34
#RCR,1509,1502,6B
#BS,461493,1,2346573.051,4070337.593,2.1988,7,0C
#BS,461509,1,2,346573.051,4070337.593,2.1981,7,07
#CS,1514,1502,34
#R,01
#BS,461549,1,2,346572.817,4070337.819,2.1968,7,00
#CS,1514,1511,36
#RCR,1512,1512,60
#BS,461573,1,2,346572.817,4070337.819,2.1960,7,01
#BS,461589,1,2,346572.817,4070337.819,2.1948,7,0E
#CS,1502,1504,35
#RCR#BS,461614,1,2,346572.817,4070337.819,2.1939,7,0F
#BS,461629,1,2,346572.583,4070338.045,2.1918,7,0C
#CS,1045,2.1897,7,07
#CS,1510,517,1501,67
#BS,461695,1,2,346572.583,4070338.045,2.1890,7,0A
#BS,461708,1,2,346572.583,4070338.045,2.1879,7,08
#CS#RCR,1530,1506,65
#BS,461734,1,2,346572.349,4070338.290,2.1871,7,05
#BS,461749,1,2,346572.349,4070338.290#BS,461773,1,2,346572.349,4070338.290,2.1841,7,05
#BS,461789,1,2,346572.349,4070338.290,2.1829,7,0#RCR,1511,1501,61
#BS,461814,1,2,346572.349,4070338.290,2.1817,7,08
#BS,461829,1,2,346572.130,4070338.516,2.1799,7,0,1504,1498,37
#RCR,1501,1499,60
#CS,1504,1490,3F
#RCR,1501,1490,69
#CS,1504,1488,36
#RCR,1503,1489,63
#BS,461913,1,2,346572.130,4070338.516,2.1743,7,05
#BS,461929,1,2,346571.911,4070338.742,2.1728,7,0A
#CS,1504,1496,39
#RCR,1503,1497,6C
#BS,461953,1,2,346571.911,4070338.742,2.1714,7,08
#BS,461969,1,2,346571.911,4070338.742,2.1694,7,08
#CS,1506,1494,39
#RCR,1507,1495,6A
#BS,46173,7,04
#BS,462009,1,2,346571.911,4070338.742,2.1654,7,08
#CS,1512,1495,3D
#RCR,1515,1496,6A
#BS,462033,1,2,346571.691,4070338.967,2.1637,7,0A
#BS,462049,1,2,346571.691,4070338.967,2.1616,7,04
#CS,1508,1498,3B
#BS,462073,1,2,346571.691,4070338.967,2.1597,7,07
#BS,462089,1,2,346571.691,4070338.967,2.1581,7,05
#CS,1212,2.1541,7,0C
#CS,1502,504,1504,60
#BS,462154,1,2,346571.473,4070339.212,2.1511,7,0B
#BS,462168,1,2,346571.473,4070339.212,2.1485,7,08
#CS#RCR,1502,1500,62
#BS,462193,1,2,346571.473,4070339.212,2.1461,7,06
#BS,462209,1,2,346571.473,4070339.212#BS,462234,1,2,346571.209,4070339.457,2.1417,7,05
#BS,462249,1,2,346571.209,4070339.457,2.1398,7,0#RCR,1502,1489,62
#BS,462273,1,2,346571.209,4070339.457,2.1384,7,0B
#BS,462289,1,2,346571.209,4070339.457,2.1368,7,0#CS,1507,1490,3C
#RCR,1510,1491,68
#BS,462314,1,2,346571.209,4070339.457,2.1349,7,0A
#BS,462329,1,2,3465,1,2,346571.020,4070339.701,2.1314,7,08
#BS,462369,1,2,346571#CS,1504,1492,3D
#RCR,1503,1493,68
#BS,462393,1,2,346571.020,4070339.701,2.1277,7,00
#BS,462409,1,2,346571.020,407039.701,2.1260,7,02
#CS,1504,1495,3A
#RCR,1504,1496,6A
#BS,462434,1,2,346570.816,4070339.945,2.1241,7,0D#CS,1504,1499,36
#RCR,1503,1500,63
#BS,462473,1,2,346570.816,4070339.945,2.1188,7,08
#BS,462489,6,4070339.945,2.1167,7,0C
